lat,lon,elevation_m
22.53,114.53,136.0
22.56,114.53,34.0
22.59,114.53,0.0
22.62,114.53,234.0
22.65,114.53,30.0
22.68,114.53,0.0
22.71,114.53,0.0
22.74,114.53,5.0
22.77,114.53,46.0
22.8,114.53,149.0
22.83,114.53,223.0
22.86,114.53,48.0
22.44,114.56,0.0
22.47,114.56,0.0
22.5,114.56,23.0
22.53,114.56,494.0
22.56,114.56,0.0
22.59,114.56,0.0
22.62,114.56,203.0
22.65,114.56,38.0
22.68,114.56,0.0
22.71,114.56,4.0
22.74,114.56,17.0
22.77,114.56,70.0
22.8,114.56,473.0
22.83,114.56,89.0
22.86,114.56,85.0
22.44,114.59,0.0
22.47,114.59,0.0
22.5,114.59,180.0
22.53,114.59,297.0
22.56,114.59,0.0
22.59,114.59,0.0
22.62,114.59,0.0
22.65,114.59,59.0
22.68,114.59,0.0
22.71,114.59,5.0
22.74,114.59,0.0
22.77,114.59,33.0
22.8,114.59,176.0
22.83,114.59,331.0
22.86,114.59,71.0
22.44,114.62,0.0
22.47,114.62,32.0
22.5,114.62,0.0
22.53,114.62,0.0
22.56,114.62,0.0
22.59,114.62,0.0
22.62,114.62,0.0
22.65,114.62,0.0
22.68,114.62,0.0
22.71,114.62,0.0
22.74,114.62,0.0
22.77,114.62,46.0
22.8,114.62,191.0
22.83,114.62,130.0
22.86,114.62,33.0
22.44,114.65,1.0
22.47,114.65,2.0
22.5,114.65,0.0
22.53,114.65,0.0
22.56,114.65,0.0
22.59,114.65,0.0
22.62,114.65,0.0
22.65,114.65,0.0
22.68,114.65,0.0
22.71,114.65,0.0
22.74,114.65,0.0
22.77,114.65,0.0
22.8,114.65,28.0
