lat,lon,builtup_pct,n_px
22.4422,114.0771,47.3,2862
22.4422,114.0816,48.7,2862
22.4422,114.0861,70.8,2862
22.4422,114.0906,78.8,2862
22.4422,114.095,95.3,2862
22.4422,114.0995,43.3,2862
22.4422,114.104,0.6,2862
22.4422,114.1085,0.0,2862
22.4422,114.113,0.0,2862
22.4422,114.1175,0.0,2809
22.4422,114.122,5.1,2862
22.4422,114.1265,26.2,2862
22.4422,114.131,34.0,2862
22.4422,114.1355,10.0,2862
22.4422,114.14,0.1,2862
22.4422,114.1445,0.2,2862
22.4422,114.1489,2.9,2862
22.4422,114.1534,0.0,2862
22.4422,114.1579,18.1,2862
22.4422,114.1624,29.1,2809
22.4422,114.1669,55.1,2862
22.4422,114.1714,43.0,2862
22.4422,114.1759,44.3,2862
22.4422,114.1804,31.8,2862
22.4422,114.1849,11.9,2862
22.4422,114.1894,0.0,2862
22.4422,114.1939,0.0,2862
22.4422,114.1984,0.0,2862
22.4422,114.2028,0.0,2862
22.4422,114.2073,0.0,2809
22.4422,114.2118,0.0,2862
22.4422,114.2163,0.0,2862
22.4422,114.2208,0.0,2862
22.4422,114.2253,0.0,2862
22.4422,114.2298,0.0,2862
22.4422,114.2343,0.0,2862
22.4422,114.2388,0.0,2862
22.4422,114.2433,0.0,2862
22.4422,114.2478,0.0,2862
22.4422,114.2522,0.0,2809
22.4422,114.2567,0.0,2862
22.4422,114.2612,0.0,2862
22.4422,114.2657,0.0,2862
22.4422,114.2702,0.0,2862
22.4422,114.2747,0.0,2862
22.4422,114.2792,0.0,2862
22.4422,114.2837,0.0,2862
22.4422,114.2882,0.0,2862
22.4422,114.2927,0.0,2862
22.4422,114.2972,0.0,2809
22.4422,114.3017,0.0,2862
22.4422,114.3061,0.0,2862
22.4422,114.3106,0.0,2862
22.4422,114.3151,0.0,2862
22.4422,114.3196,0.0,2862
22.4422,114.3241,0.0,2862
22.4422,114.3286,0.6,2862
22.4422,114.3331,0.1,2862
22.4422,114.3376,0.0,2862
22.4422,114.3421,0.0,2809
22.4422,114.3466,0.0,2862
22.4422,114.3511,0.0,2862
22.4422,114.3556,0.6,2862
22.4422,114.36,0.0,2862
22.4422,114.3645,0.0,2862
22.4422,114.369,0.0,2862
22.4422,114.3735,0.0,2862
22.4422,114.378,0.0,2862
22.4422,114.3825,0.0,2862
22.4422,114.387,0.0,2809
22.4422,114.3915,0.0,2862
22.4422,114.396,0.0,2862
22.4422,114.4005,0.0,2862
22.4422,114.405,0.0,2862
22.4422,114.4095,0.0,2862
22.4422,114.4139,0.0,2862
22.4422,114.4184,0.0,2862
22.4422,114.4229,0.0,2862
22.4422,114.4274,0.0,2809
22.4422,114.4319,0.0,2862
22.4422,114.4364,0.0,2862
22.4422,114.4409,0.0,2862
22.4422,114.4454,0.0,2862
22.4422,114.4499,0.0,2862
22.4422,114.4544,0.0,2862
22.4422,114.4589,0.0,2862
22.4422,114.4634,0.0,2862
22.4422,114.4678,0.0,2862
22.4422,114.4723,0.0,2809
22.4422,114.4768,0.0,2862
22.4422,114.4813,0.0,2862
22.4422,114.4858,0.0,2862
22.4422,114.4903,0.0,2862
22.4422,114.4948,0.0,2862
22.4422,114.4993,0.0,2862
22.4422,114.5038,0.0,2862
22.4422,114.5083,0.0,2862
22.4422,114.5128,0.0,2862
22.4422,114.5173,0.0,2809
22.4422,114.5217,0.0,2862
22.4422,114.5262,0.0,2862
22.4422,114.5307,0.0,2862
22.4422,114.5352,0.0,2862
22.4422,114.5397,0.0,2862
22.4422,114.5442,0.0,2862
22.4422,114.5487,0.0,2862
22.4422,114.5532,0.0,2862
22.4422,114.5577,0.0,2862
22.4422,114.5622,0.0,2809
22.4422,114.5667,0.0,2862
22.4422,114.5711,0.0,2862
22.4422,114.5756,0.0,2862
22.4422,114.5801,0.0,2862
22.4422,114.5846,0.0,2862
22.4422,114.5891,0.0,2862
22.4422,114.5936,0.0,2862
22.4422,114.5981,0.0,2862
22.4422,114.6026,0.0,2862
22.4422,114.6071,0.0,2809
22.4422,114.6116,0.0,2862
22.4422,114.6161,0.0,2862
22.4422,114.6206,0.0,2862
22.4422,114.625,0.0,2862
22.4422,114.6295,0.0,2862
22.4422,114.634,0.0,2862
22.4422,114.6385,0.0,2862
22.4422,114.643,0.0,2862
22.4422,114.6475,3.3,2862
22.4422,114.652,0.0,106
22.4467,113.7222,0.0,2916
22.4467,113.7267,0.0,2916
22.4467,113.7312,0.0,2916
22.4467,113.7357,0.0,2916
22.4467,113.7402,0.0,2916
22.4467,113.7447,0.0,2916
22.4467,113.7492,0.0,2916
22.4467,113.7537,0.0,2916
22.4467,113.7582,0.0,2916
22.4467,113.7627,0.0,2862
22.4467,113.7672,0.0,2916
22.4467,113.7717,0.0,2916
22.4467,113.7761,0.0,2916
22.4467,113.7806,0.0,2916
22.4467,113.7851,0.0,2916
22.4467,113.7896,0.0,2916
22.4467,113.7941,0.0,2916
